,0
0,0.9697666666666667
1,0.9697666666666667
2,0.9728
3,0.9730166666666666
4,0.9722166666666666
5,0.9719166666666667
6,0.9710333333333333
7,0.97075
8,0.9700833333333333
9,0.9696333333333333
10,0.9689166666666666
11,0.9687166666666667
12,0.96815
13,0.9679166666666666
14,0.9671
15,0.9667333333333333
16,0.9664333333333334
17,0.9658166666666667
18,0.9654
19,0.965
