,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.9103333333333333,0.9193333333333333,0.9246666666666666,0.9266666666666666,0.927,0.9286666666666666,0.929,0.9306666666666666,0.9306666666666666,0.9296666666666666,0.9283333333333333,0.9293333333333333,0.9296666666666666,0.9293333333333333,0.9296666666666666
1,0.9103333333333333,0.9193333333333333,0.9246666666666666,0.9266666666666666,0.927,0.9286666666666666,0.929,0.9306666666666666,0.9306666666666666,0.9296666666666666,0.9283333333333333,0.9293333333333333,0.9296666666666666,0.9293333333333333,0.9296666666666666
2,0.91,0.927,0.9336666666666666,0.9346666666666666,0.9386666666666666,0.939,0.9416666666666667,0.9423333333333334,0.942,0.941,0.9406666666666667,0.9406666666666667,0.939,0.9386666666666666,0.938
3,0.9113333333333333,0.9253333333333333,0.9323333333333333,0.9326666666666666,0.9363333333333334,0.938,0.9403333333333334,0.941,0.941,0.94,0.9403333333333334,0.939,0.9386666666666666,0.9376666666666666,0.937
4,0.9076666666666666,0.92,0.9266666666666666,0.931,0.932,0.9326666666666666,0.934,0.9343333333333333,0.935,0.9336666666666666,0.9336666666666666,0.9346666666666666,0.9343333333333333,0.9336666666666666,0.9336666666666666
5,0.9063333333333333,0.9216666666666666,0.9256666666666666,0.9283333333333333,0.931,0.9326666666666666,0.9316666666666666,0.9333333333333333,0.9336666666666666,0.9343333333333333,0.935,0.935,0.934,0.935,0.935
6,0.9036666666666666,0.9183333333333333,0.919,0.9196666666666666,0.9253333333333333,0.9263333333333333,0.9276666666666666,0.929,0.928,0.929,0.9293333333333333,0.9296666666666666,0.9283333333333333,0.93,0.9303333333333333
7,0.9046666666666666,0.917,0.9183333333333333,0.9206666666666666,0.9243333333333333,0.926,0.9283333333333333,0.9286666666666666,0.93,0.93,0.9293333333333333,0.9293333333333333,0.928,0.9293333333333333,0.9293333333333333
8,0.9033333333333333,0.9123333333333333,0.9166666666666666,0.9216666666666666,0.923,0.9253333333333333,0.9263333333333333,0.9276666666666666,0.9286666666666666,0.9313333333333333,0.9293333333333333,0.9303333333333333,0.929,0.9306666666666666,0.9296666666666666
9,0.9003333333333333,0.9116666666666666,0.915,0.923,0.9243333333333333,0.9253333333333333,0.9256666666666666,0.9276666666666666,0.928,0.929,0.9266666666666666,0.9283333333333333,0.9283333333333333,0.929,0.9293333333333333
